Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households
AB3 8,57.2186,-2.81048,351152,814496,NJ511144,254,0,,
AB3 9,57.4052,-3.27904,323247,835701,NJ232357,153,0,,
AB4 0,57.3395,-2.1496,391094,827674,NJ910276,322,0,,
AB4 1,57.6669,-2.50863,369755,864227,NJ697642,244,0,,
AB4 2,57.6537,-2.68374,359294,862849,NJ592628,207,0,,
AB4 3,57.6312,-2.48328,371239,860241,NJ712602,195,0,,
AB4 4,57.6269,-2.09442,394460,859663,NJ944596,285,0,,
AB4 5,57.6835,-2.00383,399871,865961,NJ998659,305,0,,
AB4 6,57.5053,-1.79246,412536,846141,NK125461,370,0,,
AB4 7,57.4856,-1.87499,407594,843936,NK075439,324,0,,
AB4 8,57.5182,-2.09875,394184,847562,NJ941475,337,0,,
AB4 9,57.3894,-2.06451,396221,833221,NJ962332,367,0,,
AB5 0,57.2788,-2.30033,381991,820947,NJ819209,343,0,,
AB5 1,57.6754,-2.96481,342554,865469,NJ425654,232,0,,
AB5 2,57.6717,-2.89584,346662,865000,NJ466650,305,0,,
AB5 3,57.5447,-2.95647,342847,850912,NJ428509,286,0,,
AB5 4,57.401,-2.92406,344569,834888,NJ445348,286,0,,
AB5 5,57.4987,-2.7279,356473,845621,NJ564456,320,0,,
AB5 6,57.3784,-2.62499,362518,832167,NJ625321,291,0,,
AB5 7,57.5567,-2.4259,374614,851924,NJ746519,316,0,,
AB5 8,57.453,-2.40456,375822,840372,NJ758403,266,0,,
AB5 9,57.2876,-2.4182,374890,821964,NJ748219,357,0,,
AB9 1,57.1457,-2.10624,393670,806095,NJ936060,276,0,,
AB9 2,57.1456,-2.11125,393367,806084,NJ933060,293,0,,
AB9 5,57.1457,-2.10443,393780,806094,NJ937060,1,0,,
AB9 6,57.139,-2.12068,392795,805350,NJ927053,116,0,,
AB9 7,,,,,,1,0,,
AB9 8,57.1504,-2.12031,392820,806619,NJ928066,379,0,,
AB10 1,57.1423,-2.10606,393680,805716,NJ936057,328,206,2260,1330
AB10 6,57.1347,-2.11897,392898,804872,NJ928048,317,244,10702,5827
AB10 7,57.1249,-2.13084,392177,803782,NJ921037,244,222,9002,4360
AB11 3,,,,,,1,0,,
AB11 5,57.1421,-2.08973,394669,805693,NJ946056,200,135,1721,985
AB11 6,57.1382,-2.10318,393854,805259,NJ938052,321,212,6372,3520
AB11 7,57.1327,-2.10153,393953,804647,NJ939046,81,57,2823,1365
AB11 8,57.1335,-2.0816,395160,804734,NJ951047,159,142,6956,3142
AB11 9,57.1338,-2.08408,395009,804768,NJ950047,127,94,3365,1914
AB12 3,57.1074,-2.08923,394694,801830,NJ946018,352,275,8242,3495
AB12 4,57.0687,-2.13143,392129,797526,NO921975,216,182,8107,3204
AB12 5,57.1124,-2.12791,392352,802390,NJ923023,288,248,9065,3989
AB12 9,57.1261,-2.09521,394335,803912,NJ943039,149,87,,
AB13 0,57.1126,-2.24457,385286,802431,NJ852024,101,81,2725,947
AB14 0,57.1033,-2.27251,383590,801402,NJ835014,164,140,4881,2162
AB15 4,57.1429,-2.13758,391773,805786,NJ917057,165,124,4513,1987
AB15 5,57.1491,-2.136,391870,806477,NJ918064,128,107,3889,1792
AB15 6,57.1477,-2.16054,390385,806324,NJ903063,199,172,5717,2704
AB15 7,57.1322,-2.14822,391127,804596,NJ911045,174,150,5022,2349
AB15 8,57.1469,-2.1929,388427,806240,NJ884062,281,249,9137,3793
AB15 9,57.1203,-2.18362,388980,803277,NJ889032,269,226,7265,2705
AB16 5,57.1594,-2.14858,391111,807625,NJ911076,282,250,10048,4746
AB16 6,57.1545,-2.16724,389981,807082,NJ899070,219,202,7869,3674
AB16 7,57.1672,-2.15795,390547,808494,NJ905084,264,243,11321,4454
AB16 9,57.1533,-2.15286,390851,806946,NJ908069,130,80,,
AB21 0,57.2323,-2.22813,386327,815753,NJ863157,365,311,8170,3190
AB21 1,57.1998,-2.19089,388565,812128,NJ885121,13,5,,
AB21 7,57.2092,-2.18312,389037,813174,NJ890131,211,172,6024,2647
AB21 9,57.181,-2.18233,389076,810034,NJ890100,300,251,7987,3813
AB22 8,57.1864,-2.11911,392899,810627,NJ928106,361,300,16311,6978
AB23 8,57.2096,-2.08943,394697,813207,NJ946132,385,313,11143,4517
AB23 9,57.1851,-2.09625,394281,810480,NJ942104,20,3,,
AB24 1,57.1684,-2.09548,394325,808621,NJ943086,115,94,6822,2644
AB24 2,57.1708,-2.11943,392877,808890,NJ928088,185,164,7385,3679
AB24 3,57.1616,-2.10517,393738,807864,NJ937078,216,180,6952,3066
AB24 4,57.166,-2.12738,392395,808357,NJ923083,200,169,6473,3218
AB24 5,57.1552,-2.09345,394446,807151,NJ944071,252,198,8711,4328
AB25 1,57.1515,-2.10747,393597,806741,NJ935067,199,150,5975,2855
AB25 2,57.1512,-2.11973,392855,806708,NJ928067,215,177,6402,3391
AB25 3,57.1577,-2.11487,393150,807431,NJ931074,181,142,6030,3388
AB25 9,57.1597,-2.11795,392964,807654,NJ929076,20,8,,
AB30 1,56.8462,-2.47756,370968,772851,NO709728,342,308,7229,2935
AB30 9,56.8346,-2.46389,371793,771554,NO717715,8,0,,
AB31 3,57.0541,-2.46556,371858,795989,NO718959,313,0,,
AB31 4,57.0994,-2.60695,363326,801099,NJ633010,287,252,4653,1806
AB31 5,57.0631,-2.46007,372197,796989,NO721969,299,270,8633,3542
AB31 6,57.0361,-2.48191,370852,793992,NO708939,126,108,2033,748
AB31 9,57.0573,-2.48588,370627,796354,NO706963,14,5,,
AB32 6,57.1526,-2.30064,381910,806898,NJ819068,353,306,12013,4662
AB32 7,57.1683,-2.41185,375192,808681,NJ751086,56,53,889,349
AB32 9,57.1486,-2.2888,382624,806450,NJ826064,14,4,,
AB33 8,57.226,-2.73741,355574,815270,NJ555152,306,268,5273,2180
AB34 4,57.1309,-2.85685,348229,804768,NJ482047,75,71,1220,514
AB34 5,57.0798,-2.79463,351929,799034,NO519990,219,197,4167,1795
AB35 5,57.0389,-3.14444,330649,794783,NO306947,201,165,2624,1217
AB36 8,57.1961,-3.07214,335311,812210,NJ353122,55,47,515,242
AB37 9,57.3309,-3.3531,318633,827516,NJ186275,95,87,1534,678
AB38 7,57.5036,-3.25229,325056,846625,NJ250466,71,64,2199,964
AB38 9,57.4738,-3.21149,327442,843263,NJ274432,111,98,2461,1045
AB39 2,56.9609,-2.22025,386705,785539,NO867855,342,305,11599,4891
AB39 3,57.0014,-2.21516,387029,790047,NO870900,218,197,6046,2347
AB39 8,57.0317,-2.17431,389519,793413,NO895934,13,13,,
AB39 9,56.9653,-2.20794,387455,786027,NO874860,10,3,,
AB41 0,57.3659,-2.16718,390043,830615,NJ900306,262,0,,
AB41 1,57.3665,-2.08402,395045,830673,NJ950306,13,2,,
AB41 6,57.3173,-2.08432,395020,825196,NJ950251,134,123,2984,1173
AB41 7,57.3887,-2.20202,387955,833159,NJ879331,220,197,4962,2027
AB41 8,57.3965,-2.0585,396583,834011,NJ965340,292,271,5017,1814
AB41 9,57.366,-2.07767,395427,830617,NJ954306,230,198,7874,3503
AB42 0,57.4311,-1.88293,407129,837867,NK071378,163,152,3331,1427
AB42 1,57.5087,-1.78953,412710,846520,NK127465,324,278,9278,4231
AB42 2,57.5007,-1.80183,411976,845627,NK119456,176,156,8525,3576
AB42 3,57.5093,-1.82378,410658,846581,NK106465,241,212,4068,1602
AB42 4,57.5314,-2.00773,399636,849027,NJ996490,227,213,3865,1541
AB42 5,57.5047,-2.03655,397909,846056,NJ979460,219,201,4663,1990
AB42 6,57.5062,-1.79454,412411,846241,NK124462,388,0,,
AB42 7,57.4847,-1.87336,407692,843836,NK076438,348,0,,
AB42 8,57.5168,-2.05851,396594,847404,NJ965474,273,0,,
AB42 9,57.4954,-1.80827,411591,845036,NK115450,18,4,,
AB43 1,57.6912,-2.00586,399750,866818,NJ997668,1,0,,
AB43 4,57.6276,-2.09565,394387,859742,NJ943597,292,0,,
AB43 5,57.6828,-2.00401,399860,865883,NJ998658,325,0,,
AB43 6,57.6062,-2.15659,390742,857366,NJ907573,159,150,3232,1406
AB43 7,57.6702,-2.08441,395064,864483,NJ950644,175,166,4134,1620
AB43 8,57.6414,-1.94697,403265,861275,NK032612,174,160,4390,1797
AB43 9,57.6889,-2.01547,399177,866562,NJ991665,304,271,12242,5280
AB44 1,57.6682,-2.49327,370672,864365,NJ706643,155,145,4009,1794
AB45 1,57.6649,-2.52739,368634,864013,NJ686640,169,146,3951,1844
AB45 2,57.6567,-2.67245,359971,863176,NJ599631,279,254,4618,2025
AB45 3,57.6364,-2.46945,372069,860814,NJ720608,229,212,2561,1031
AB45 9,57.6647,-2.5207,369033,863987,NJ690639,2,0,,
AB51 0,57.2919,-2.34683,379195,822418,NJ791224,379,345,11048,4235
AB51 1,57.2869,-2.37571,377451,821871,NJ774218,29,10,,
AB51 3,57.2791,-2.37624,377414,821003,NJ774210,175,155,4882,2288
AB51 4,57.2896,-2.3902,376579,822176,NJ765221,193,159,6242,2779
AB51 5,57.2817,-2.44122,373498,821316,NJ734213,283,260,7510,2958
AB51 6,57.2945,-2.36742,377955,822714,NJ779227,29,29,679,228
AB51 7,57.1934,-2.52472,368388,811522,NJ683115,120,112,2110,841
AB51 8,57.4063,-2.43632,373882,835185,NJ738351,104,93,2172,823
AB51 9,57.2882,-2.4153,375065,822030,NJ750220,389,0,,
AB52 6,57.3421,-2.60256,363831,828114,NJ638281,260,248,4758,1952
AB53 4,57.5401,-2.48414,371115,850100,NJ711500,261,242,6060,2699
AB53 5,57.5732,-2.35334,378965,853736,NJ789537,156,147,2191,901
AB53 6,57.5209,-2.22135,386841,847880,NJ868478,98,93,1452,573
AB53 7,57.5551,-2.43331,374169,851749,NJ741517,336,0,,
AB53 8,57.4732,-2.39461,376432,842617,NJ764426,215,198,2910,1152
AB53 9,57.5373,-2.462,372439,849779,NJ724497,5,2,,
AB54 4,57.3905,-2.85285,348833,833663,NJ488336,266,227,3230,1362
AB54 5,57.4972,-2.73231,356207,845457,NJ562454,319,0,,
AB54 6,57.4556,-2.66996,359898,840787,NJ598407,116,106,1120,450
AB54 7,57.5423,-2.68526,359078,850448,NJ590504,186,177,2493,1043
AB54 8,57.4469,-2.78758,352829,839894,NJ528398,151,140,4524,2148
AB54 9,57.4477,-2.78537,352963,839982,NJ529399,5,2,,
AB55 3,57.5439,-2.95607,342869,850822,NJ428508,294,0,,
AB55 4,57.4473,-3.12051,332849,840219,NJ328402,93,89,2177,971
AB55 5,57.5328,-2.96131,342538,849591,NJ425495,207,188,5307,2400
AB55 6,57.563,-2.94375,343636,852938,NJ436529,147,145,1823,726
AB56 1,57.6746,-2.96557,342508,865380,NJ425653,313,286,8328,3728
AB56 2,57.6721,-2.89687,346602,865046,NJ466650,312,0,,
AB56 4,57.6896,-2.86632,348449,866970,NJ484669,233,215,4615,1981
AB56 5,57.6476,-2.94833,343494,862360,NJ434623,140,128,1882,806
AB56 9,57.6772,-2.96097,342786,865666,NJ427656,3,2,,
AB99 8,57.1113,-2.09399,394406,802264,NJ944022,7,3,,
AL1 1,51.7448,-0.326651,515625,206447,TL156064,310,190,5744,2619
AL1 2,51.7404,-0.336731,514940,205941,TL149059,232,172,6600,2601
AL1 3,51.752,-0.328347,515489,207245,TL154072,388,251,4239,2157
AL1 4,51.7564,-0.315551,516361,207754,TL163077,338,234,9640,3555
AL1 5,51.747,-0.311593,516659,206715,TL166067,344,244,10068,4150
AL1 9,51.7482,-0.304348,517156,206860,TL171068,396,101,,
AL2 1,51.7252,-0.298307,517632,204312,TL176043,329,249,9571,3783
AL2 2,51.7223,-0.338353,514874,203926,TL148039,283,208,5977,2488
AL2 3,51.7205,-0.354996,513729,203700,TL137036,350,259,7787,3109
AL3 4,51.7489,-0.344774,514363,206874,TL143068,275,185,5413,2238
AL3 5,51.7578,-0.335996,514947,207878,TL149078,327,231,8597,3307
AL3 6,51.7677,-0.338065,514779,208975,TL147089,212,159,4365,1637
AL3 7,51.7905,-0.385871,511424,211437,TL114114,244,183,5263,2167
AL3 8,51.8221,-0.440193,507602,214870,TL076148,235,187,4387,1848
AL4 0,51.7475,-0.288044,518283,206809,TL182068,387,276,9669,3611
AL4 8,51.809,-0.297054,517501,213633,TL175136,281,210,6304,2544
AL4 9,51.7678,-0.303267,517180,209042,TL171090,378,286,11248,4637
AL5 1,51.8066,-0.340942,514482,213297,TL144132,272,190,6363,2528
AL5 2,51.8108,-0.359445,513196,213735,TL131137,321,240,4475,1747
AL5 3,51.8249,-0.375908,512026,215278,TL120152,189,141,4686,1674
AL5 4,51.8213,-0.351276,513732,214916,TL137149,335,245,6834,2635
AL5 5,51.819,-0.341636,514403,214675,TL144146,285,222,8128,3088
AL5 9,51.7985,-0.341035,514496,212396,TL144123,129,22,,
AL6 0,51.8297,-0.183589,525266,216125,TL252161,338,263,6315,2481
AL6 9,51.8301,-0.216464,522999,216113,TL229161,309,235,4866,2021
AL7 1,51.8064,-0.190395,524861,213522,TL248135,348,209,5544,2410
AL7 2,51.8,-0.17306,526074,212840,TL260128,222,169,7574,3411
AL7 3,51.7955,-0.191913,524787,212307,TL247123,307,228,10447,4149
AL7 4,51.7877,-0.192176,524790,211439,TL247114,291,233,10409,4200
AL7 9,51.8045,-0.196554,524442,213300,TL244132,205,39,,
AL8 6,51.799,-0.210556,523491,212664,TL234126,324,219,5941,2698
AL8 7,51.8086,-0.209998,523504,213733,TL235137,271,209,7425,2950
AL9 5,51.7662,-0.212123,523473,209014,TL234090,195,129,2296,1018
AL9 6,51.7471,-0.170751,526381,206961,TL263069,142,112,1665,598
AL9 7,51.733,-0.21029,523690,205325,TL236053,274,189,6680,2726
AL10 0,51.7661,-0.22779,522392,208977,TL223089,333,239,9679,4071
AL10 1,51.7643,-0.226211,522506,208779,TL225087,114,30,,
AL10 8,51.7549,-0.227071,522472,207732,TL224077,331,245,10997,4047
AL10 9,51.7607,-0.240133,521555,208355,TL215083,358,282,14715,4306
B1 1,52.4761,-1.90357,406647,286467,SP066864,263,113,4207,2245
B1 2,52.4797,-1.91068,406163,286867,SP061868,236,105,3026,1503
B1 3,52.4837,-1.90953,406241,287312,SP062873,189,77,1281,778
B1 9,52.4786,-1.91298,406007,286745,SP060867,1,0,,
B2 2,52.4939,-1.89541,407198,288448,SP071884,399,291,,
B2 4,52.4793,-1.8985,406991,286824,SP069868,250,83,437,328
B2 5,52.4799,-1.89969,406910,286890,SP069868,210,38,218,145
B3 1,52.483,-1.90524,406532,287235,SP065872,253,88,2146,1352
B3 2,52.4829,-1.90028,406869,287224,SP068872,248,85,60,40
B3 3,52.4807,-1.90306,406681,286979,SP066869,192,43,20,14
B4 6,52.4832,-1.89713,407083,287258,SP070872,235,91,635,288
B4 7,52.4843,-1.89013,407558,287381,SP075873,209,99,3702,177
B5 4,52.4768,-1.89803,407023,286546,SP070865,218,76,1950,1212
B5 5,52.4784,-1.88971,407588,286725,SP075867,176,62,1041,250
B5 6,52.4734,-1.89333,407343,286168,SP073861,174,56,483,277
B5 7,52.4645,-1.90227,406737,285177,SP067851,301,187,8682,3400
B6 4,52.4944,-1.89125,407480,288504,SP074885,191,74,1242,447
B6 5,52.501,-1.88638,407810,289239,SP078892,160,88,4756,1584
B6 6,52.506,-1.89136,407471,289795,SP074897,199,139,10753,2791
B6 7,52.5089,-1.87767,408400,290119,SP083901,239,115,2756,1064
B6 9,52.496,-1.89421,407279,288682,SP072886,76,16,,
B7 4,52.4891,-1.87939,408287,287916,SP082879,234,136,3865,1589
B7 5,52.4993,-1.86852,409023,289052,SP090890,201,139,4689,1855
B8 1,52.4889,-1.85662,409833,287896,SP098878,240,170,11485,2995
B8 2,52.4932,-1.8316,411531,288378,SP115883,289,223,15795,4975
B8 3,52.4874,-1.8424,410799,287732,SP107877,248,188,14998,4017
B9 4,52.4777,-1.86763,409088,286649,SP090866,244,133,4679,1627
B9 5,52.4784,-1.84234,410805,286731,SP108867,330,256,20236,5921
B9 9,52.478,-1.85196,410152,286685,SP101866,178,18,,
B10 0,52.469,-1.85999,409608,285683,SP096856,235,150,8150,2601
B10 9,52.4712,-1.84616,410547,285929,SP105859,221,174,17854,4507
B11 1,52.4622,-1.87028,408911,284925,SP089849,265,179,11877,3260
B11 2,52.4563,-1.84952,410322,284271,SP103842,203,105,3955,1344
B11 3,52.4498,-1.85087,410232,283548,SP102835,242,175,16295,5004
B11 4,52.4514,-1.86606,409200,283724,SP091837,213,143,12264,2994
B11 9,52.458,-1.86312,409398,284458,SP093844,98,11,,
B12 0,52.4677,-1.88239,408087,285535,SP080855,263,145,4119,1858
B12 8,52.4561,-1.8774,408428,284245,SP084842,253,166,8306,2326
B12 9,52.4579,-1.8884,407680,284445,SP076844,223,143,8123,2465
B13 0,52.4266,-1.8739,408672,280965,SP086809,270,222,13748,5375
B13 3,52.4275,-1.8911,407502,281063,SP075810,200,31,2,1
B13 8,52.4445,-1.89377,407318,282953,SP073829,224,153,7656,3443
B13 9,52.44,-1.87709,408452,282454,SP084824,371,271,16266,6573
B14 4,52.4131,-1.87304,408733,279463,SP087794,257,210,12833,5273
B14 5,52.4085,-1.89312,407368,278949,SP073789,268,226,10692,4705
B14 6,52.4218,-1.90119,406817,280427,SP068804,244,184,11592,4730
B14 7,52.432,-1.89404,407301,281563,SP073815,263,165,7982,3355
B15 1,52.4727,-1.91756,405697,286088,SP056860,238,89,2264,1003
B15 2,52.4643,-1.91962,405558,285153,SP055851,321,217,10082,3423
B15 3,52.4681,-1.93337,404623,285575,SP046855,273,165,5526,1794
B16 0,52.4807,-1.9406,404131,286977,SP041869,232,152,9940,3481
B16 6,52.4734,-1.93025,404835,286165,SP048861,311,64,,
B16 8,52.4747,-1.92485,405202,286310,SP052863,327,163,6937,3642
B16 9,52.4743,-1.93805,404305,286265,SP043862,237,143,6742,3182
B17 0,52.4538,-1.95874,402901,283983,SP029839,264,200,9102,4204
B17 8,52.4701,-1.9693,402183,285796,SP021857,258,176,8715,3242
B17 9,52.4607,-1.96104,402744,284751,SP027847,270,195,7808,3553
B18 4,52.4917,-1.93805,404303,288200,SP043882,183,116,6619,2010
B18 5,52.4948,-1.92299,405325,288546,SP053885,214,119,5225,2032
B18 6,52.4895,-1.91275,406021,287957,SP060879,213,102,1826,1025
B18 7,52.4881,-1.9271,405047,287800,SP050878,133,86,3069,1322
B18 9,52.4926,-1.91293,406009,288302,SP060883,129,20,,
B19 1,52.5013,-1.91193,406076,289270,SP060892,200,146,9259,2752
B19 2,52.498,-1.9034,406655,288904,SP066889,239,161,7215,2545
B19 3,52.4905,-1.90412,406607,288069,SP066880,242,145,3730,1309
B20 1,52.5204,-1.93328,404624,291393,SP046913,176,125,8059,2612
B20 2,52.5123,-1.92241,405363,290492,SP053904,276,191,11649,4091
B20 3,52.5101,-1.90689,406416,290249,SP064902,295,207,15044,4488
B21 0,52.5033,-1.9424,404007,289490,SP040894,243,164,9773,3310
B21 1,52.5001,-1.92037,405503,289136,SP055891,138,11,,
B21 8,52.511,-1.94663,403719,290347,SP037903,159,110,9668,3216
B21 9,52.506,-1.93257,404674,289791,SP046897,234,155,10185,3112
B22 1,52.4117,-1.92883,404938,279302,SP049793,10,0,,
B23 3,52.5249,-1.84069,410906,291903,SP109919,185,42,,
B23 5,52.5358,-1.85222,410121,293114,SP101931,364,292,15189,6817
B23 6,52.5252,-1.84548,410581,291936,SP105919,310,221,11124,5059
B23 7,52.5227,-1.86341,409365,291655,SP093916,343,277,16545,6869
B24 0,52.5248,-1.81594,412585,291896,SP125918,272,214,10512,4561
B24 8,52.513,-1.84392,410689,290579,SP106905,219,159,8213,3065
B24 9,52.5198,-1.82976,411649,291337,SP116913,265,205,9555,4054
B25 8,52.4647,-1.82242,412162,285210,SP121852,338,258,15861,5983
B25 9,52.4549,-1.83387,411386,284118,SP113841,140,25,,
B26 1,52.4607,-1.80659,413238,284768,SP132847,198,159,10675,4406
B26 2,52.4671,-1.79293,414164,285482,SP141854,242,199,11445,4560
B26 3,52.4556,-1.78399,414776,284205,SP147842,296,215,10338,4428
B27 6,52.4507,-1.82071,412282,283653,SP122836,253,192,10272,4179
B27 7,52.4414,-1.82642,411896,282617,SP118826,289,244,15059,6027
B28 0,52.4216,-1.84693,410507,280412,SP105804,331,271,14212,5327
B28 1,52.4291,-1.84363,410729,281246,SP107812,74,10,,
B28 8,52.4367,-1.84352,410735,282092,SP107820,207,162,8487,2873
B28 9,52.4283,-1.83693,411185,281158,SP111811,209,151,7646,2782
B29 4,52.4293,-1.96109,402743,281258,SP027812,192,155,6442,2874
B29 5,52.4382,-1.96627,402390,282248,SP023822,247,210,10588,4343
B29 6,52.4399,-1.94022,404161,282438,SP041824,308,218,13635,4277
B29 7,52.4408,-1.92298,405333,282539,SP053825,230,168,11950,3812
B29 9,52.4383,-1.93581,404461,282260,SP044822,70,9,,
B30 1,52.4219,-1.94105,404106,280436,SP041804,274,217,10610,4703
B30 2,52.4267,-1.9222,405387,280971,SP053809,295,219,11243,4709
B30 3,52.4142,-1.91894,405610,279581,SP056795,214,163,7688,3345
B30 9,52.4172,-1.93015,404848,279913,SP048799,82,12,,
B31 1,52.4227,-1.97983,401469,280523,SP014805,271,220,10920,4533
B31 2,52.412,-1.96848,402241,279333,SP022793,338,262,11970,5189
B31 3,52.4026,-1.95958,402847,278288,SP028782,277,223,11269,4929
B31 4,52.3966,-1.9734,401907,277620,SP019776,262,223,10061,4418
B31 5,52.4092,-1.99043,400748,279021,SP007790,204,176,9574,3678
B31 9,52.4154,-1.97115,402059,279712,SP020797,75,8,,
B32 1,52.4581,-1.99996,400100,284461,SP000844,218,172,9111,3731
B32 2,52.4572,-1.98224,401304,284361,SP013843,278,218,12506,5221
B32 3,52.4417,-1.9949,400444,282637,SP004826,280,230,11604,4977
B32 4,52.4332,-2.00909,399479,281691,SO994816,136,118,5136,2280
B32 9,52.4607,-1.99523,400421,284750,SP004847,152,23,,
B33 0,52.4756,-1.77253,415547,286432,SP155864,312,239,10116,4444
B33 3,52.4857,-1.78687,414570,287552,SP145875,72,8,,
B33 8,52.4799,-1.80293,413481,286904,SP134869,256,211,12200,4643
B33 9,52.4861,-1.79178,414237,287596,SP142875,258,225,12167,4612
B34 6,52.4956,-1.79197,414221,288653,SP142886,207,177,10736,4518
B34 7,52.4957,-1.76964,415737,288668,SP157886,177,153,8205,3594
B35 6,52.5217,-1.78871,414433,291557,SP144915,173,129,4279,2004
B35 7,52.5159,-1.78989,414355,290911,SP143909,197,148,5652,2219
B35 9,52.51,-1.794,414078,290254,SP140902,58,9,,
B36 0,52.5025,-1.75551,416693,289428,SP166894,249,204,12929,5352
B36 8,52.5038,-1.80981,413007,289561,SP130895,254,198,12919,4483
B36 9,52.5079,-1.77271,415524,290025,SP155900,210,176,9284,3987
B37 5,52.4784,-1.7488,417158,286749,SP171867,239,209,10027,4422
B37 6,52.4881,-1.7438,417494,287828,SP174878,246,212,11947,5091
B37 7,52.4717,-1.73608,418025,286006,SP180860,365,302,13901,5857
B37 9,52.4803,-1.7409,417694,286962,SP176869,51,7,,
B38 0,52.3967,-1.91314,406007,277635,SP060776,70,56,1827,687
B38 8,52.404,-1.94218,404031,278445,SP040784,259,212,8984,3866
B38 9,52.3992,-1.93141,404764,277911,SP047779,246,193,10250,4306
B40 1,52.4586,-1.72445,418820,284552,SP188845,24,12,9,2
B42 1,52.5306,-1.91429,405911,292529,SP059925,266,174,10524,3972
B42 2,52.5352,-1.90641,406445,293041,SP064930,281,205,13738,5335
B42 9,52.5401,-1.88744,407731,293588,SP077935,150,15,,
B43 5,52.5391,-1.93899,404235,293473,SP042934,220,175,10511,4290
B43 6,52.5465,-1.9361,404430,294296,SP044942,201,161,6599,2705
B43 7,52.5561,-1.91224,406047,295365,SP060953,247,209,11686,4800
B44 0,52.5453,-1.87564,408531,294168,SP085941,277,236,15826,6121
B44 8,52.5385,-1.89121,407476,293410,SP074934,259,201,10177,4183
B44 9,52.5513,-1.89093,407493,294834,SP074948,258,201,11444,4740
B45 0,52.4043,-2.01556,399038,278477,SO990784,141,122,7236,3171
B45 5,52.3859,-2.00291,399899,276430,SO998764,80,20,,
B45 8,52.3779,-1.99912,400157,275540,SP001755,341,281,10548,4341
B45 9,52.3934,-2.01679,398954,277264,SO989772,337,275,12489,5298
B46 1,52.51,-1.72004,419098,290271,SP190902,271,199,7178,3062
B46 2,52.5166,-1.65746,423342,291023,SP233910,189,163,2257,917
B46 3,52.4923,-1.70581,420072,288305,SP200883,136,100,2753,1215
B46 9,52.4981,-1.70579,420070,288951,SP200889,55,14,,
B47 5,52.3941,-1.88063,408220,277349,SP082773,173,143,6580,2806
B47 6,52.381,-1.88199,408130,275891,SP081758,120,100,2980,1326
B48 7,52.3569,-1.95165,403390,273205,SP033732,244,208,5685,2309
B49 5,52.2156,-1.88448,407990,257493,SP079574,212,160,4218,1950
B49 6,52.2189,-1.85275,410157,257864,SP101578,229,188,5879,2490
B49 9,52.214,-1.87009,408973,257317,SP089573,50,8,,
B50 4,52.1702,-1.85604,409943,252447,SP099524,213,188,5517,2235
B50 9,,,,,,1,0,,
B60 1,52.3473,-2.03354,397812,272137,SO978721,233,191,7067,2980
B60 2,52.3287,-2.05123,396606,270069,SO966700,239,198,7868,3204
B60 3,52.3199,-2.0579,396150,269090,SO961690,256,212,9042,3814
B60 4,52.2969,-2.06884,395402,266532,SO954665,168,142,3201,1379
B60 5,,,,,,1,0,,
B60 9,52.3257,-2.05485,396359,269735,SO963697,228,89,,
B61 0,52.3552,-2.05494,396355,273016,SO963730,290,254,10686,4401
B61 7,52.3263,-2.07327,395103,269803,SO951698,178,143,5132,1984
B61 8,52.3391,-2.06564,395625,271226,SO956712,221,181,5951,2625
